Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.890816,130165600
2017-06-20,36.717499,36.717499,36.235001,36.252499,34.573723,99600400
2017-06-21,36.380001,36.517502,36.152500,36.467499,34.778755,85063200
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.721539,76425200
2017-06-23,36.282501,36.790001,36.277500,36.570000,34.876507,141757600
2017-06-26,36.792500,37.070000,36.345001,36.455002,34.766838,102769600
2017-06-27,36.252499,36.540001,35.904999,35.932499,34.268524,99047600
2017-06-28,36.122501,36.527500,35.790001,36.457500,34.769218,88329600
2017-06-29,36.177502,36.282501,35.570000,35.919998,34.256607,125997600
2017-06-30,36.112499,36.240002,35.945000,36.005001,34.337669,92096400
2017-07-03,36.220001,36.325001,35.775002,35.875000,34.213696,57111200
2017-07-05,35.922501,36.197498,35.680000,36.022499,34.354362,86278400
2017-07-06,35.755001,35.875000,35.602501,35.682499,34.030106,96515200
2017-07-07,35.724998,36.187500,35.724998,36.044998,34.375809,76806800
2017-07-10,36.027500,36.487499,35.842499,36.264999,34.585625,84362400
2017-07-11,36.182499,36.462502,36.095001,36.382500,34.697689,79127200
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.747765,99538000
2017-07-13,36.375000,37.122501,36.360001,36.942501,35.231762,100797600
2017-07-14,36.992500,37.332500,36.832500,37.259998,35.534557,80528400
2017-07-17,37.205002,37.724998,37.142502,37.389999,35.658535,95174000
